Date,Open,High,Low,Close,Volume
2015-09-30,10073.74,10512.61,9325.05,9660.44,2659219312
2015-10-31,9757.04,10886.98,9396.34,10850.14,2186073671
2015-11-30,10749.98,11430.87,10607.46,11382.23,1732704793
2015-12-31,11422.47,11430.38,10122.95,10743.01,1840168989
2016-01-31,10485.81,10485.91,9314.57,9798.11,2233594821
2016-02-29,9823.73,9827.1,8699.29,9495.4,2532410105
2016-03-31,9482.66,10112.17,9471.09,9965.51,2101602647
2016-04-30,9833.26,10474.38,9484.75,10038.97,1853010387
2016-05-31,10091.17,10365.24,9737,10262.74,1777347363
2016-06-30,10242.78,10340.84,9214.1,9680.09,2495784042
2016-07-31,9742.84,10381.9,9304.01,10337.5,1865426241
2016-08-31,10426.36,10802.32,10092.53,10592.69,1610860315
2016-09-30,10622.33,10780.42,10189.94,10511.02,2189282362
2016-10-31,10492.97,10827.72,10349.06,10665.01,1852130185
2016-11-30,10724.14,10802.39,10174.92,10640.3,2192403933
2016-12-31,10593.06,11481.66,10402.59,11481.06,1979961967
2017-01-31,11426.38,11893.08,11414.82,11535.31,1895972861
2017-02-28,11646.42,12031.11,11479.78,11834.41,1686342683
2017-03-31,11915.03,12313.29,11850.27,12312.87,2425447979
2017-04-30,12368.82,12486.29,11941.57,12438.01,1695541767
2017-05-31,12478.46,12841.66,12433.51,12615.06,2067551402
2017-06-30,12623.61,12951.54,12319,12325.12,2132366543
2017-07-31,12396.34,12676.52,12097.36,12118.25,1829111161
2017-08-31,12147.89,12336,11868.84,12055.84,1790458099
2017-09-30,12101.15,12828.86,12050.53,12828.86,1825577436
2017-10-31,12866.27,13255.38,12849.59,13229.57,1610404729
2017-11-30,13342.44,13525.56,12847.88,13023.98,2185792261
2017-12-31,13044.15,13338.91,12810.13,12917.64,1664167501
2018-01-31,12897.69,13596.89,12745.15,13189.48,2165598359
2018-02-28,13235.15,13301.41,12003.36,12435.85,2391099049
2018-03-31,12386.4,12459.9,11726.62,12096.73,2479496873
2018-04-30,11997.47,12647.16,11792.35,12612.11,1910767311
2018-05-31,12610.78,13204.31,12547.61,12604.89,2284934327
2018-06-30,12678.07,13170.05,12104.41,12306,2423607007
2018-07-31,12147.94,12886.83,12132.72,12805.5,2027563226
2018-08-31,12826.7,12833.11,12120.65,12364.06,1883702124
2018-09-30,12338.36,12458.3,11865.47,12246.73,2173022245
2018-10-31,12265.89,12373.29,11051.04,11447.51,2382619671
2018-11-30,11419.61,11689.96,11009.25,11257.24,2180746816
2018-12-31,11534.75,11566.97,10279.2,10558.96,1967055802
2019-01-31,10477.77,11321.62,10386.97,11173.1,2070961359
2019-02-28,11198.46,11556.87,10863.56,11515.64,1746304718
2019-03-31,11584.24,11823.29,11299.8,11526.04,2068056384
2019-04-30,11617.18,12376.06,11612.7,12344.08,1842059048
2019-05-31,12349.1,12435.67,11662.07,11726.84,2288978948
2019-06-30,11661.12,12438.37,11620.64,12398.8,1958110745
2019-07-31,12616.34,12656.05,12115.28,12189.04,2003859101
2019-08-31,12134.71,12254.03,11266.48,11939.28,2185336437
2019-09-30,11939.99,12494.25,11869.28,12428.08,1911051677
2019-10-31,12469.67,12986.49,11878.98,12866.79,2003564103
2019-11-30,12912.09,13374.27,12896.72,13236.38,1598514394
2019-12-31,13264.93,13425.85,12886.55,13249.01,1372865727
2020-01-31,13233.71,13640.06,12948.17,12981.97,1766265644
2020-02-29,13033.17,13795.24,11724.12,11890.35,2231747396
2020-03-31,12030.27,12272.99,8255.65,9935.84,4794863093
2020-04-30,9610.67,11235.57,9337.02,10861.64,2499808796
2020-05-31,10543.36,11813.14,10160.89,11586.85,2211890894
2020-06-30,11896.7,12913.13,11597.82,12310.93,2802075082
2020-07-31,12391.72,13313.9,12095.11,12313.36,1793669653
2020-08-31,12374.46,13221.82,12365.61,12945.38,1335493483
2020-09-30,13037.2,13460.46,12341.58,12760.73,1726349786
2020-10-31,12812.08,13151.8,11450.08,11556.48,1643479585
2020-11-30,11602.91,13445.11,11551.36,13291.16,0
2020-12-31,13371.66,13903.11,13009.48,13718.78,0
2021-01-31,13890.22,14131.52,13310.95,13432.87,0
2021-02-28,13559.94,14169.49,13518.45,13786.29,0
2021-03-31,13962.43,15029.7,13868.2,15008.34,0
2021-04-30,15053.77,15501.84,15032.52,15135.91,0
2021-05-31,15191.79,15568.6,14816.35,15421.13,0
2021-06-30,15513.13,15802.67,15309.44,15531.04,0
2021-07-31,15624.28,15810.68,15048.56,15544.39,0
2021-08-31,15631.7,16030.33,15492.58,15835.09,0
2021-09-30,15958.41,15981.7,15019.49,15260.69,0
2021-10-31,15041.6,15781,14818.71,15688.77,0
2021-11-30,15764.55,16290.19,15015.42,15100.13,0
2021-12-31,15233.37,15974.79,15060.1,15884.86,0
2022-01-31,15947.44,16285.35,14952.67,15471.2,0
2022-02-28,15620.56,15736.52,13807.28,14461.02,0
2022-03-31,14404.22,14925.25,12438.85,14414.75,0
2022-04-30,14447.78,14603.44,13566.2,14097.88,0
2022-05-31,13996.82,14589.45,13380.67,14388.35,0
2022-06-30,14478.37,14709.38,12618.68,12783.77,0
2022-07-31,12627.66,13515.03,12390.95,13484.05,0
